Name,Type,Days To Maturation,Manufacturer ,Genus,Species,Variety,Cultivar,Season
Generic Arugula,seed,42.5,Stereowrench Generic,Eruca,vesicaria,,,
"Generic Beans, bush",seed,52.5,Stereowrench Generic,Phaseolus,vulgaris,,,
"Generic Beans, lima",seed,70,Stereowrench Generic,Phaseolus,lunatus,,,
"Generic Beans, pole",seed,60,Stereowrench Generic,Phaseolus ,coccineus,,,
Generic Beets,seed,60,Stereowrench Generic,Beta,vulgaris,,,
Generic Broccoli,seed,82.5,Stereowrench Generic,Brassica,oleracea,italica,,
Generic Broccoli,transplant,60,Stereowrench Generic,Brassica,oleracea,italica,,
Generic Brussels Sprouts,seed,105,Stereowrench Generic,Brassica ,oleracea,gemmifera,,
Generic Brussels Sprouts,transplant,80,Stereowrench Generic,Brassica ,oleracea,gemmifera,,
Generic Summer Cabbage,seed,97.5,Stereowrench Generic,Brassica ,oleracea,,,summer
Generic Summer Cabbage,transplant,80,Stereowrench Generic,Brassica ,oleracea,,,summer
Generic Winter Cabbage,seed,97.5,Stereowrench Generic,Brassica ,oleracea,,,winter
Generic Winter Cabbage,transplant,80,Stereowrench Generic,Brassica ,oleracea,,,winter
Generic Cantaloupe,seed,97.5,Stereowrench Generic,Cucumis,melo,,,
Generic Cantaloupe,transplant,80,Stereowrench Generic,Cucumis,melo,,,
Generic Carrot,seed,95,Stereowrench Generic,Daucus,carota,sativus,,
Generic Cauliflower,seed,82.5,Stereowrench Generic,Brassica ,oleracea,botrytis,,
Generic Cauliflower,transplant,60,Stereowrench Generic,Brassica ,oleracea,botrytis,,
Generic Celery,seed,82.5,Stereowrench Generic,Apium,graveolens,dulce,,
Generic Chinese cabbage,seed,80,Stereowrench Generic,Brassica,rapa,,,
Generic Chinese cabbage,transplant,65,Stereowrench Generic,Brassica,rapa,,,
Generic Collards,seed,80,Stereowrench Generic,Brassica,oleracea,viridis,,
Generic Collards,transplant,60,Stereowrench Generic,Brassica,oleracea,viridis,,
"Generic Corn, sweet",seed,77.5,Stereowrench Generic,Zea,mays,rugosa,,
Generic Cucumbers,seed,52.5,Stereowrench Generic,Cucumis,sativus,,,
Generic Eggplant,seed,102.5,Stereowrench Generic,Solanum,melongena,,,
Generic Eggplant,transplant,80,Stereowrench Generic,Solanum,melongena,,,
Generic Endive/Escarole,seed,70,Stereowrench Generic,Cichorium,endivia,,,
Generic Chicory,seed,,Stereowrench Generic,Cichorium,intybus,,,
Generic English/Snow peas,seed,70,Stereowrench Generic,Pisum,sativum,,,
Generic Field peas,seed,,Stereowrench Generic,Pisum,sativum,arvense,,
"Generic Potatoes, Irish",seed,92.5,Stereowrench Generic,Solanum,tuberosum,,,
"Generic Potatoes, Irish",seed_potato,92.5,Stereowrench Generic,Solanum,tuberosum,,,
Generic Kale,seed,60,Stereowrench Generic,Brassica,oleracea,sabellica,,
Generic Kohlrabi,seed,75,Stereowrench Generic,Brassica,oleracea,gongylodes,,
Generic Kohlrabi,transplant,52.5,Stereowrench Generic,Brassica,oleracea,gongylodes,,
Generic Lettuce,seed,70,Stereowrench Generic,Lactuca,sativa,,,
Generic Mustard,seed,45,Stereowrench Generic,Brassica,juncea,,,
Generic Okra,seed,65,Stereowrench Generic,Abelmoschus,esculentus,,,
Generic Onions,seed,115,Stereowrench Generic,Allium,cepa,,,
Generic Onions,set,115,Stereowrench Generic,Allium,cepa,,,
"Generic Onions, bunching",seed,75,Stereowrench Generic,Allium,fistulosum,,,
"Generic Onions, bunching",set,75,Stereowrench Generic,Allium,fistulosum,,,
"Generic Peas, southern",seed,82.5,Stereowrench Generic,Vigna,unguiculata,,,
Generic Peppers,seed,95,Stereowrench Generic,Capsicum,annuum,,,
Generic Peppers,transplant,70,Stereowrench Generic,Capsicum,annuum,,,
Generic Habanero Peppers,seed,95,Stereowrench Generic,Capsicum,chinense,,,
Generic Habanero Peppers,transplant,70,Stereowrench Generic,Capsicum,chinense,,,
"Generic Potatoes, sweet",seed,107.5,Stereowrench Generic,Ipomoea,batatas,,,
"Generic Potatoes, sweet",slips,107.5,Stereowrench Generic,Ipomoea,batatas,,,
Generic Pumpkin,seed,90,Stereowrench Generic,Cucurbita,pepo,pumpkin,,
Generic Pumpkin,transplant,80,Stereowrench Generic,Cucurbita,pepo,pumpkin,,
Generic Radish,seed,25,Stereowrench Generic,Raphanus,sativus,,,
Generic Spinach,seed,52.5,Stereowrench Generic,Spinacia,oleracea,,,
"Generic Squash, summer",seed,45,Stereowrench Generic,Cucurbita,pepo,squash,,
"Generic Squash, winter",seed,102.5,Stereowrench Generic,Cucurbita,maxima,,,
Generic Swiss chard,seed,52.5,Stereowrench Generic,Beta,vulgaris,vulgaris,,
Generic Tomatoes,seed,100,Stereowrench Generic,Solanum,lycopersicum,,,
Generic Tomatoes,transplant,80,Stereowrench Generic,Solanum,lycopersicum,,,
Generic Turnips,seed,50,Stereowrench Generic,Brassica,rapa,,,
Generic Watermelon,seed,90,Stereowrench Generic,Citrullus,lanatus,,,
Generic Watermelon,transplant,70,Stereowrench Generic,Citrullus,lanatus,,,
Generic Strawberry,transplant,45,Stereowrench Generic,Fragaria,Fragaria × ananassa,,,
