Name,Start Month,Start Day,End Month,End Day,Type,Min Weeks,Max Weeks,Genus,Species,Variety,Cultivar,Season
Arugula,10,1,3,31,seed,,,Eruca,vesicaria,,,
"Beans, bush",9,1,4,30,seed,,,Phaseolus,vulgaris,,,
"Beans, pole",9,1,4,30,seed,,,Phaseolus ,coccineus,,,
"Beans, lima",9,1,4,30,seed,,,Phaseolus,lunatus,,,
Beets,10,1,1,31,seed,,,Beta,vulgaris,,,
Broccoli,10,1,1,31,"seed,transplant",4,6,Brassica,oleracea,italica,,
Brussels Sprouts,10,1,1,31,"seed,transplant",4,6,Brassica ,oleracea,gemmifera,,
Cabbage,9,1,1,31,"seed,transplant",4,6,Brassica,oleracea,,,
Cantaloupes,12,1,3,31,"seed,transplant",4,6,Cucumis,melo,,,
Carrots,9,1,3,31,seed,,,Daucus,carota,sativus,,
Cauliflower,9,1,1,31,"seed,transplant",4,6,Brassica,oleracea,botrytis,,
Celery,11,1,3,31,seed,,,Apium,graveolens,dulce,,
Chinese cabbage,9,1,4,30,"seed,transplant",4,6,Brassica,rapa,,,
Collards,9,1,1,31,"seed,transplant",4,6,Brassica,oleracea,viridis,,
"Corn, sweet",11,1,3,31,seed,,,Zea,mays,rugosa,,
Cucumbers,9,1,2,28,seed,,,Cucumis,sativus,,,
Eggplant,8,1,2,28,"seed,transplant",4,6,Solanum,melongena,,,
Endive/Escarole,9,1,3,31,seed,,,Cichorium,endivia,,,
Kale,9,1,1,31,seed,,,Brassica,oleracea,sabellica,,
Kohlrabi,11,1,2,28,"seed,transplant",4,6,Brassica,oleracea,gongylodes,,
Lettuce,9,1,2,28,seed,,,Lactuca,sativa,,,
Mustard,9,1,1,31,seed,,,Brassica,juncea,,,
Okra1,1,1,3,31,seed,,,Abelmoschus,esculentus,,,
Okra2,8,1,10,31,seed,,,Abelmoschus,esculentus,,,
"Onions, bulbing",10,1,10,31,"seed,set",,,Allium,cepa,,,
"Onions, bunching (greens and shallots)",9,1,3,31,"seed,set",,,Allium,fistulosum,,,
"Peas, snow or English",11,1,2,28,seed,,,Pisum,sativum,,,
"Peas, southern",9,1,4,30,seed,,,Vigna,unguiculata,,,
Peppers,8,1,2,28,"seed,transplant",4,6,Capsicum,annuum,,,
Habanero Peppers,8,1,2,28,"seed,transplant",4,6,Capsicum,chinense,,,
"Potatoes, Irish",10,1,1,31,"seed,seed_potato",,,Solanum,tuberosum,,,
"Potatoes, sweet",12,1,9,30,"seed,slip",,,Ipomoea,batatas,,,
Pumpkin,8,1,8,15,"seed,transplant",4,6,Cucurbita,pepo,pumpkin,,
Radish,10,1,3,31,seed,,,Raphanus,sativus,,,
Spinach,10,1,3,31,seed,,,Spinacia,oleracea,,,
"Squash, summer",8,1,3,31,seed,,,Cucurbita,pepo,squash,,
"Squash, winter",8,1,3,31,seed,,,Cucurbita,maxima,,,
Strawberry,10,1,10,31,transplant,4,6,Fragaria,Fragaria × ananassa,,,
Swiss chard,9,1,3,31,seed,,,Beta,vulgaris,vulgaris,,
Tomatoes (supported),8,1,2,28,"seed,transplant",,,Solanum,lycopersicum,,,
Watermelon,12,1,3,31,"seed,transplant",,,Citrullus,lanatus,,,
