Common Name,Genus,Species,Variety,Season
Arugula,Eruca,vesicaria,,
Beans,Phaseolus ,vulgaris,,
"Beans, bush",Phaseolus,vulgaris,,
"Beans, lima",Phaseolus,lunatus,,
"Beans, pole",Phaseolus ,coccineus,,
"Beans, snap",Phaseolus ,vulgaris,,
Beets,Beta,vulgaris,,
Broccoli,Brassica,oleracea,italica,
Brussels Sprouts,Brassica ,oleracea,gemmifera,
,Brassica ,oleracea,,summer
,Brassica ,oleracea,,winter
Cabbage,Brassica ,oleracea,,
Cantaloupe,Cucumis,melo,,
Carrot,Daucus,carota,sativus,
Cauliflower,Brassica ,oleracea,botrytis,
Celery,Apium,graveolens,dulce,
Chinese cabbage,Brassica,rapa,,
Collards,Brassica,oleracea,viridis,
"Corn, sweet",Zea,mays,rugosa,
Cucumbers,Cucumis,sativus,,
Eggplant,Solanum,melongena,,
Endive/Escarole,Cichorium,endivia,,
Chicory,Cichorium,intybus,,
English/Snow peas,Pisum,sativum,,
Field peas,Pisum,sativum,arvense,
"Potatoes, Irish",Solanum,tuberosum,,
Kale,Brassica,oleracea,sabellica,
Kohlrabi,Brassica,oleracea,gongylodes,
Lettuce,Lactuca,sativa,,
Mustard,Brassica,juncea,,
Okra,Abelmoschus,esculentus,,
Onions,Allium,cepa,,
"Onions, bunching",Allium,fistulosum,,
"Peas, southern",Vigna,unguiculata,,
Peppers,Capsicum,annuum,,
Habanero Peppers,Capsicum,chinense,,
"Potatoes, sweet",Ipomoea,batatas,,
Pumpkin,Cucurbita,pepo,pumpkin,
Radish,Raphanus,sativus,,
Spinach,Spinacia,oleracea,,
"Squash, summer",Cucurbita,pepo,squash,
"Squash, winter",Cucurbita,maxima,,
Swiss chard,Beta,vulgaris,vulgaris,
Tomatoes,Solanum,lycopersicum,,
Turnips,Brassica,rapa,,
Watermelon,Citrullus,lanatus,,
Strawberry,Fragaria,Fragaria × ananassa,,
